Date,Price,Open,High,Low,Vol.,Change %
02/15/2023,4158.25 ,4141.25 ,4161.75 ,4113.00 ,1.61M,0.31%
02/14/2023,4145.50 ,4149.75 ,4186.50 ,4103.75 ,2.38M,-0.04%
02/13/2023,4147.25 ,4105.00 ,4150.75 ,4078.75 ,1.38M,1.16%
02/10/2023,4099.75 ,4098.00 ,4104.25 ,4060.75 ,1.74M,0.20%
02/09/2023,4091.75 ,4132.25 ,4170.25 ,4078.25 ,1.83M,-0.94%
02/08/2023,4130.50 ,4167.25 ,4179.25 ,4121.25 ,1.80M,-1.08%
02/07/2023,4175.75 ,4123.50 ,4188.25 ,4098.25 ,2.18M,1.27%
02/06/2023,4123.50 ,4134.25 ,4143.00 ,4104.00 ,1.56M,-0.58%
02/03/2023,4147.75 ,4176.00 ,4194.00 ,4132.50 ,2.35M,-1.04%
02/02/2023,4191.50 ,4145.50 ,4208.50 ,4136.75 ,2.29M,1.43%
02/01/2023,4132.25 ,4085.75 ,4163.25 ,4048.50 ,2.00M,1.03%
01/31/2023,4090.00 ,4039.25 ,4091.25 ,4007.50 ,1.79M,1.43%
01/30/2023,4032.50 ,4077.00 ,4086.00 ,4029.50 ,1.79M,-1.27%
01/27/2023,4084.25 ,4065.00 ,4109.25 ,4057.25 ,1.59M,0.21%
01/26/2023,4075.50 ,4031.00 ,4077.00 ,4027.25 ,1.61M,1.08%
01/25/2023,4032.00 ,4039.00 ,4040.50 ,3963.25 ,1.76M,-0.02%
01/24/2023,4032.75 ,4036.50 ,4047.50 ,4005.25 ,1.47M,-0.09%
01/23/2023,4036.50 ,3987.00 ,4056.75 ,3980.25 ,1.59M,1.20%
01/20/2023,3988.50 ,3925.00 ,3990.50 ,3911.75 ,1.62M,1.86%
01/19/2023,3915.50 ,3945.25 ,3948.75 ,3901.75 ,1.90M,-0.77%
01/18/2023,3945.75 ,4008.50 ,4033.50 ,3943.75 ,1.90M,-1.59%
