Date,Price,Open,High,Low,Vol.,Change %
02/15/2023,4147.60 ,4119.50 ,4148.11 ,4103.98 ,,0.28%
02/14/2023,4136.13 ,4126.70 ,4159.77 ,4095.01 ,,-0.03%
02/13/2023,4137.29 ,4096.62 ,4138.90 ,4092.67 ,,1.14%
02/10/2023,4090.46 ,4068.92 ,4094.36 ,4060.79 ,,0.22%
02/09/2023,4081.50 ,4144.25 ,4156.23 ,4069.67 ,,-0.88%
02/08/2023,4117.86 ,4153.47 ,4156.85 ,4111.67 ,,-1.11%
02/07/2023,4164.00 ,4105.35 ,4176.54 ,4088.39 ,,1.29%
02/06/2023,4111.08 ,4119.57 ,4124.63 ,4093.38 ,,-0.61%
02/03/2023,4136.48 ,4136.69 ,4182.36 ,4123.36 ,,-1.04%
02/02/2023,4179.76 ,4158.68 ,4195.44 ,4141.88 ,,1.47%
02/01/2023,4119.21 ,4070.07 ,4148.95 ,4037.20 ,,1.05%
01/31/2023,4076.60 ,4020.85 ,4077.16 ,4020.44 ,,1.46%
01/30/2023,4017.77 ,4049.27 ,4063.85 ,4015.55 ,,-1.30%
01/27/2023,4070.56 ,4053.72 ,4094.21 ,4048.70 ,,0.25%
01/26/2023,4060.43 ,4036.08 ,4061.57 ,4013.29 ,,1.10%
01/25/2023,4016.22 ,3982.71 ,4019.55 ,3949.06 ,,-0.02%
01/24/2023,4016.95 ,4001.74 ,4023.92 ,3989.79 ,,-0.07%
01/23/2023,4019.81 ,3978.14 ,4039.31 ,3971.64 ,,1.19%
01/20/2023,3972.61 ,3909.04 ,3972.96 ,3897.86 ,,1.89%
01/19/2023,3898.85 ,3911.84 ,3922.94 ,3885.54 ,,-0.76%
01/18/2023,3928.86 ,4002.25 ,4014.16 ,3926.59 ,,-1.56%
